Value,Result
0,1
0.5,0.999961923
1,0.999847695
1.5,0.999657325
2,0.999390827
2.5,0.999048222
3,0.998629535
3.5,0.998134798
4,0.99756405
4.5,0.996917334
5,0.996194698
5.5,0.995396198
6,0.994521895
6.5,0.993571856
7,0.992546152
7.5,0.991444861
8,0.990268069
8.5,0.989015863
9,0.987688341
9.5,0.986285602
10,0.984807753
10.5,0.983254908
11,0.981627183
11.5,0.979924705
12,0.978147601
12.5,0.976296007
13,0.974370065
13.5,0.97236992
14,0.970295726
14.5,0.96814764
15,0.965925826
15.5,0.963630453
16,0.961261696
16.5,0.958819735
17,0.956304756
17.5,0.953716951
18,0.951056516
18.5,0.948323655
19,0.945518576
19.5,0.942641491
20,0.939692621
20.5,0.936672189
21,0.933580426
21.5,0.930417568
22,0.927183855
22.5,0.923879533
23,0.920504853
23.5,0.917060074
24,0.913545458
24.5,0.909961271
25,0.906307787
25.5,0.902585284
26,0.898794046
26.5,0.894934362
27,0.891006524
27.5,0.887010833
28,0.882947593
28.5,0.878817113
29,0.874619707
29.5,0.870355696
30,0.866025404
30.5,0.86162916
31,0.857167301
31.5,0.852640164
32,0.848048096
32.5,0.843391446
33,0.838670568
33.5,0.833885822
34,0.829037573
34.5,0.824126189
35,0.819152044
35.5,0.814115518
36,0.809016994
36.5,0.803856861
37,0.79863551
37.5,0.79335334
38,0.788010754
38.5,0.782608157
39,0.777145961
39.5,0.771624583
40,0.766044443
40.5,0.760405966
41,0.75470958
41.5,0.748955721
42,0.743144825
42.5,0.737277337
43,0.731353702
43.5,0.725374371
44,0.7193398
44.5,0.713250449
45,0.707106781
45.5,0.700909264
46,0.69465837
46.5,0.688354576
47,0.68199836
47.5,0.675590208
48,0.669130606
48.5,0.662620048
49,0.656059029
49.5,0.649448048
50,0.64278761
50.5,0.63607822
51,0.629320391
51.5,0.622514637
52,0.615661475
52.5,0.608761429
53,0.601815023
53.5,0.594822787
54,0.587785252
54.5,0.580702956
55,0.573576436
55.5,0.566406237
56,0.559192903
56.5,0.551936985
57,0.544639035
57.5,0.537299608
58,0.529919264
58.5,0.522498565
59,0.515038075
59.5,0.507538363
60,0.5
60.5,0.49242356
61,0.48480962
61.5,0.47715876
62,0.469471563
62.5,0.461748613
63,0.4539905
63.5,0.446197813
64,0.438371147
64.5,0.430511097
65,0.422618262
65.5,0.414693243
66,0.406736643
66.5,0.398749069
67,0.390731128
67.5,0.382683432
68,0.374606593
68.5,0.366501227
69,0.35836795
69.5,0.350207381
70,0.342020143
70.5,0.333806859
71,0.325568154
71.5,0.317304656
72,0.309016994
72.5,0.3007058
73,0.292371705
73.5,0.284015345
74,0.275637356
74.5,0.267238376
75,0.258819045
75.5,0.250380004
76,0.241921896
76.5,0.233445364
77,0.224951054
77.5,0.216439614
78,0.207911691
78.5,0.199367934
79,0.190808995
79.5,0.182235525
80,0.173648178
80.5,0.165047606
81,0.156434465
81.5,0.147809411
82,0.139173101
82.5,0.130526192
83,0.121869343
83.5,0.113203214
84,0.104528463
84.5,0.095845753
85,0.087155743
85.5,0.078459096
86,0.069756474
86.5,0.06104854
87,0.052335956
87.5,0.043619387
88,0.034899497
88.5,0.026176948
89,0.017452406
89.5,0.008726535
90,6.12574E-17
90.5,-0.008726535
91,-0.017452406
91.5,-0.026176948
92,-0.034899497
92.5,-0.043619387
93,-0.052335956
93.5,-0.06104854
94,-0.069756474
94.5,-0.078459096
95,-0.087155743
95.5,-0.095845753
96,-0.104528463
96.5,-0.113203214
97,-0.121869343
97.5,-0.130526192
98,-0.139173101
98.5,-0.147809411
99,-0.156434465
99.5,-0.165047606
100,-0.173648178
100.5,-0.182235525
