Value1,Value2,Result
1000,11,90.90909091
999,20,49.95
998,16,62.375
997,11,90.63636364
996,16,62.25
995,20,49.75
994,16,62.125
993,10,99.3
992,8,124
991,1,991
990,9,110
989,12,82.41666667
988,10,98.8
987,7,141
986,8,123.25
985,2,492.5
984,7,140.5714286
983,7,140.4285714
982,6,163.6666667
981,11,89.18181818
980,11,89.09090909
979,19,51.52631579
978,14,69.85714286
977,10,97.7
976,2,488
975,8,121.875
974,12,81.16666667
973,17,57.23529412
972,9,108
971,9,107.8888889
970,7,138.5714286
969,14,69.21428571
968,8,121
967,17,56.88235294
966,1,966
965,13,74.23076923
964,18,53.55555556
963,1,963
962,18,53.44444444
961,9,106.7777778
960,10,96
959,5,191.8
958,15,63.86666667
957,10,95.7
956,13,73.53846154
955,17,56.17647059
954,8,119.25
953,11,86.63636364
952,13,73.23076923
951,18,52.83333333
950,20,47.5
949,4,237.25
948,20,47.4
947,18,52.61111111
946,2,473
945,6,157.5
944,18,52.44444444
943,6,157.1666667
942,19,49.57894737
941,11,85.54545455
940,10,94
939,14,67.07142857
938,1,938
937,18,52.05555556
936,16,58.5
935,19,49.21052632
934,11,84.90909091
933,2,466.5
932,12,77.66666667
931,7,133
930,20,46.5
929,15,61.93333333
928,10,92.8
927,12,77.25
926,10,92.6
925,13,71.15384615
924,16,57.75
923,20,46.15
922,16,57.625
921,1,921
920,19,48.42105263
919,10,91.9
918,20,45.9
917,9,101.8888889
916,1,916
915,20,45.75
914,20,45.7
913,3,304.3333333
912,10,91.2
911,10,91.1
910,16,56.875
909,19,47.84210526
908,19,47.78947368
907,15,60.46666667
906,13,69.69230769
905,11,82.27272727
904,9,100.4444444
903,4,225.75
902,3,300.6666667
901,7,128.7142857
900,4,225
899,20,44.95
898,17,52.82352941
897,6,149.5
896,20,44.8
895,2,447.5
894,11,81.27272727
893,10,89.3
892,13,68.61538462
891,1,891
890,5,178
889,1,889
888,11,80.72727273
887,18,49.27777778
886,2,443
885,17,52.05882353
884,4,221
883,20,44.15
882,3,294
881,1,881
880,16,55
879,10,87.9
878,4,219.5
877,9,97.44444444
