Value1,Value2,Result
14,0,0
10,7,70
0,9,0
19,1,19
12,5,60
17,6,102
6,6,36
6,7,42
9,3,27
5,7,35
16,8,128
12,6,72
16,7,112
13,9,117
5,10,50
4,7,28
4,4,16
1,0,0
17,1,17
4,6,24
3,5,15
16,2,32
17,2,34
6,9,54
6,5,30
10,2,20
19,6,114
16,10,160
12,9,108
4,2,8
6,2,12
13,6,78
6,6,36
7,8,56
18,10,180
3,10,30
3,6,18
12,1,12
5,7,35
10,7,70
18,9,162
4,2,8
8,4,32
6,10,60
0,1,0
15,0,0
16,4,64
11,2,22
14,9,126
5,9,45
5,4,20
2,15,30
5,16,80
1,7,7
4,13,52
3,4,12
2,6,12
3,15,45
1,17,17
2,1,2
3,19,57
1,2,2
2,8,16
2,2,4
0,9,0
0,0,0
4,19,76
0,2,0
2,5,10
5,13,65
5,16,80
0,20,0
5,19,95
1,11,11
1,2,2
0,6,0
4,2,8
2,5,10
5,1,5
5,16,80
1,10,10
2,18,36
4,2,8
3,8,24
0,7,0
3,4,12
0,2,0
2,6,12
4,2,8
2,7,14
0,17,0
1,7,7
3,18,54
2,18,36
3,3,9
0,18,0
5,19,95
0,14,0
3,17,51
1,10,10
9,12,108
6,14,84
6,14,84
8,28,224
8,22,176
11,30,330
8,23,184
11,22,242
7,29,203
6,24,144
9,18,162
11,28,308
10,14,140
6,16,96
6,27,162
7,28,196
11,28,308
10,22,220
11,30,330
11,25,275
8,30,240
7,26,182
11,20,220
11,21,231
8,12,96
10,20,200
9,22,198
11,29,319
11,14,154
10,27,270
7,28,196
11,22,242
7,21,147
10,31,310
8,27,216
9,13,117
10,20,200
7,19,133
9,30,270
9,20,180
7,32,224
6,13,78
9,13,117
8,14,112
6,25,150
8,23,184
8,27,216
9,18,162
9,20,180
11,25,275
11,23,253
22,9,198
18,11,198
23,7,161
27,6,162
12,6,72
26,11,286
18,8,144
24,10,240
32,6,192
15,9,135
20,7,140
30,7,210
31,10,310
25,9,225
27,10,270
31,11,341
26,8,208
12,8,96
16,8,128
14,6,84
13,10,130
17,7,119
12,6,72
25,10,250
22,10,220
22,10,220
23,10,230
25,8,200
29,10,290
25,11,275
22,11,242
24,7,168
31,8,248
16,6,96
26,9,234
29,10,290
31,11,341
18,10,180
16,7,112
16,10,160
32,8,256
13,6,78
14,6,84
15,7,105
19,6,114
13,7,91
32,6,192
28,9,252
25,10,250
20,9,180
19,9,171
1,20,20
2,19,38
3,18,54
4,17,68
5,16,80
6,15,90
7,14,98
8,13,104
9,12,108
10,11,110
11,10,110
12,9,108
13,8,104
14,7,98
15,6,90
16,5,80
17,4,68
18,3,54
19,2,38
20,1,20
21,40,840
22,39,858
23,38,874
24,37,888
25,36,900
26,35,910
27,34,918
28,33,924
29,32,928
30,31,930
31,30,930
32,29,928
33,28,924
34,27,918
35,26,910
36,25,900
37,24,888
38,23,874
39,22,858
40,21,840
1,40,40
2,39,78
3,38,114
4,37,148
5,36,180
6,35,210
7,34,238
8,33,264
9,32,288
10,31,310
11,30,330
12,29,348
13,28,364
14,27,378
15,26,390
16,25,400
17,24,408
18,23,414
19,22,418
20,21,420
20,21,420
19,22,418
18,23,414
17,24,408
16,25,400
15,26,390
14,27,378
13,28,364
12,29,348
11,30,330
10,31,310
9,32,288
8,33,264
7,34,238
6,35,210
5,36,180
4,37,148
3,38,114
2,39,78
1,40,40
3,2,6
5,2,10
1,3,3
10,9,90
5,6,30
1,3,3
7,10,70
6,1,6
5,7,35
9,10,90
8,2,16
5,7,35
8,9,72
9,1,9
1,6,6
4,7,28
1,7,7
2,1,2
6,3,18
4,2,8
7,5,35
1,4,4
9,3,27
7,6,42
3,10,30
4,2,8
4,10,40
8,8,64
5,8,40
2,7,14
4,7,28
5,10,50
10,10,100
9,3,27
4,2,8
1,4,4
10,7,70
1,8,8
9,7,63
3,9,27
3,5,15
5,10,50
7,8,56
8,9,72
6,6,36
9,4,36
7,10,70
9,2,18
2,7,14
6,8,48
7,5,35
20,12,240
14,20,280
12,20,240
16,18,288
19,16,304
13,18,234
20,12,240
16,13,208
20,20,400
14,11,154
11,15,165
14,15,210
12,12,144
17,18,306
20,20,400
19,19,361
11,15,165
14,15,210
17,13,221
17,13,221
15,20,300
12,13,156
16,16,256
13,14,182
14,13,182
11,17,187
15,11,165
16,18,288
18,16,288
17,13,221
15,15,225
18,17,306
11,16,176
18,18,324
14,20,280
17,20,340
11,13,143
18,19,342
12,12,144
18,20,360
11,11,121
15,15,225
12,15,180
14,16,224
20,14,280
20,11,220
15,18,270
15,17,255
13,17,221
13,12,156
15,11,165
8,17,136
3,16,48
4,16,64
2,12,24
6,11,66
2,14,28
10,16,160
6,18,108
8,15,120
3,16,48
3,11,33
10,15,150
6,11,66
1,19,19
9,20,180
8,10,80
4,13,52
9,19,171
5,15,75
7,10,70
10,15,150
2,17,34
8,17,136
7,16,112
3,11,33
7,13,91
5,10,50
1,15,15
3,12,36
5,20,100
2,16,32
9,11,99
2,10,20
8,14,112
4,12,48
9,17,153
8,19,152
1,17,17
5,17,85
1,19,19
1,17,17
9,12,108
6,20,120
1,12,12
3,17,51
2,12,24
2,12,24
2,20,40
5,18,90
9,12,108
7,19,133
20,9,180
11,1,11
15,10,150
14,1,14
12,4,48
12,1,12
15,9,135
15,3,45
19,9,171
16,2,32
17,2,34
14,4,56
18,2,36
20,7,140
12,7,84
15,1,15
18,6,108
20,8,160
17,2,34
14,4,56
16,6,96
14,4,56
14,10,140
12,7,84
13,3,39
17,10,170
17,3,51
15,5,75
20,6,120
11,8,88
18,8,144
17,8,136
17,3,51
19,6,114
18,4,72
18,7,126
19,9,171
11,6,66
12,5,60
17,1,17
20,5,100
17,3,51
17,10,170
11,3,33
19,6,114
13,5,65
15,8,120
12,3,36
15,8,120
17,4,68
14,3,42
1,50,50
2,49,98
3,48,144
4,47,188
5,46,230
6,45,270
7,44,308
8,43,344
9,42,378
10,41,410
11,40,440
12,39,468
13,38,494
14,37,518
15,36,540
16,35,560
17,34,578
18,33,594
19,32,608
20,31,620
21,30,630
22,29,638
23,28,644
24,27,648
25,26,650
26,25,650
27,24,648
28,23,644
29,22,638
30,21,630
31,20,620
32,19,608
33,18,594
34,17,578
35,16,560
36,15,540
37,14,518
38,13,494
39,12,468
40,11,440
41,10,410
42,9,378
43,8,344
44,7,308
45,6,270
46,5,230
47,4,188
48,3,144
49,2,98
50,1,50
50,1,50
49,2,98
48,3,144
47,4,188
46,5,230
45,6,270
44,7,308
43,8,344
42,9,378
41,10,410
40,11,440
39,12,468
38,13,494
37,14,518
36,15,540
35,16,560
34,17,578
33,18,594
32,19,608
31,20,620
30,21,630
29,22,638
28,23,644
27,24,648
26,25,650
25,26,650
24,27,648
23,28,644
22,29,638
21,30,630
20,31,620
19,32,608
18,33,594
17,34,578
16,35,560
15,36,540
14,37,518
13,38,494
12,39,468
11,40,440
10,41,410
9,42,378
8,43,344
7,44,308
6,45,270
5,46,230
4,47,188
3,48,144
2,49,98
1,50,50
50,31,1550
44,24,1056
58,27,1566
58,53,3074
23,58,1334
54,20,1080
44,43,1892
49,52,2548
39,40,1560
22,31,682
41,39,1599
37,29,1073
54,28,1512
26,38,988
27,30,810
45,37,1665
41,60,2460
44,42,1848
29,31,899
32,20,640
53,26,1378
60,32,1920
25,23,575
26,32,832
57,46,2622
54,41,2214
33,22,726
29,27,783
56,26,1456
45,49,2205
36,49,1764
20,56,1120
41,48,1968
48,32,1536
51,22,1122
46,44,2024
31,49,1519
24,51,1224
51,41,2091
54,27,1458
51,23,1173
34,45,1530
26,23,598
53,36,1908
53,28,1484
30,57,1710
45,37,1665
41,21,861
45,29,1305
41,52,2132
43,36,1548
36,51,1836
22,28,616
37,36,1332
39,23,897
28,46,1288
48,40,1920
46,56,2576
59,56,3304
23,33,759
53,46,2438
32,25,800
29,32,928
37,28,1036
31,47,1457
35,49,1715
29,24,696
52,25,1300
36,43,1548
21,60,1260
42,46,1932
44,42,1848
42,52,2184
29,42,1218
60,22,1320
52,21,1092
44,25,1100
58,35,2030
30,49,1470
23,35,805
36,53,1908
22,32,704
51,44,2244
59,45,2655
38,56,2128
49,21,1029
50,23,1150
52,30,1560
46,24,1104
39,44,1716
46,44,2024
22,25,550
33,48,1584
49,35,1715
60,38,2280
24,50,1200
36,56,2016
41,60,2460
49,44,2156
48,43,2064
23,29,667
4,83,332
4,60,240
8,87,696
10,91,910
1,73,73
5,70,350
3,61,183
8,70,560
2,62,124
7,86,602
1,69,69
5,81,405
1,63,63
10,61,610
4,60,240
6,75,450
2,95,190
3,50,150
5,83,415
6,96,576
3,91,273
4,84,336
8,69,552
9,77,693
2,93,186
9,69,621
6,73,438
6,93,558
10,81,810
7,98,686
3,69,207
1,97,97
4,58,232
3,61,183
7,63,441
1,61,61
2,74,148
2,78,156
10,83,830
7,60,420
4,67,268
6,60,360
10,52,520
8,89,712
2,95,190
7,97,679
9,94,846
1,66,66
9,74,666
9,79,711
10,79,790
6,59,354
7,55,385
5,68,340
8,64,512
5,56,280
10,54,540
9,75,675
3,72,216
6,51,306
9,66,594
9,72,648
9,85,765
4,77,308
1,65,65
8,94,752
1,94,94
6,80,480
4,90,360
3,68,204
5,76,380
4,68,272
8,66,528
8,53,424
7,64,448
8,55,440
8,91,728
2,52,104
1,81,81
5,55,275
8,90,720
7,70,490
1,96,96
6,74,444
2,66,132
6,94,564
3,91,273
9,90,810
7,72,504
4,87,348
7,94,658
2,59,118
1,73,73
9,84,756
4,86,344
5,88,440
8,89,712
2,56,112
3,95,285
6,97,582
2,55,110
60,3,180
67,10,670
52,3,156
69,6,414
51,10,510
69,5,345
73,1,73
99,4,396
90,5,450
84,5,420
72,7,504
74,10,740
97,2,194
58,8,464
59,5,295
98,7,686
66,5,330
60,4,240
68,4,272
97,7,679
99,8,792
78,10,780
55,3,165
70,4,280
92,7,644
80,1,80
68,5,340
72,5,360
98,5,490
92,8,736
64,8,512
86,8,688
62,10,620
90,10,900
67,3,201
82,1,82
98,9,882
84,6,504
65,8,520
93,9,837
78,4,312
61,10,610
97,5,485
53,9,477
80,4,320
50,8,400
51,4,204
80,4,320
98,9,882
64,9,576
56,5,280
60,4,240
98,5,490
80,4,320
63,6,378
54,7,378
62,9,558
59,2,118
62,10,620
94,6,564
67,3,201
57,8,456
70,7,490
55,10,550
82,4,328
93,4,372
82,1,82
61,5,305
81,2,162
67,2,134
93,3,279
53,5,265
66,4,264
53,1,53
97,9,873
99,9,891
99,2,198
78,9,702
79,8,632
53,1,53
85,3,255
82,8,656
54,7,378
80,5,400
87,7,609
67,9,603
53,1,53
88,9,792
62,10,620
92,7,644
61,7,427
54,9,486
60,2,120
76,7,532
60,5,300
63,1,63
82,6,492
74,8,592
64,9,576
88,6,528
93,8,744
