Value1,Value2,Result
1,0,1
1.1,0,1
1.2,0,1
1.3,0,1
1.4,0,1
1.5,0,1
1.6,0,1
1.7,0,1
1.8,0,1
1.9,0,1
2,0,1
2.1,0,1
2.2,0,1
2.3,0,1
2.4,0,1
2.5,0,1
2.6,0,1
2.7,0,1
2.8,0,1
2.9,0,1
3,0,1
3.1,0,1
3.2,0,1
3.3,0,1
3.4,0,1
3.5,0,1
3.6,0,1
3.7,0,1
3.8,0,1
3.9,0,1
4,0,1
4.1,0,1
4.2,0,1
4.3,0,1
4.4,0,1
4.5,0,1
4.6,0,1
4.7,0,1
4.8,0,1
4.9,0,1
5,0,1
5.1,0,1
5.2,0,1
5.3,0,1
5.4,0,1
5.5,0,1
5.6,0,1
5.7,0,1
5.8,0,1
5.9,0,1
6,0,1
6.1,0,1
6.2,0,1
6.3,0,1
6.4,0,1
6.5,0,1
6.6,0,1
6.7,0,1
6.8,0,1
6.9,0,1
7,0,1
7.1,0,1
7.2,0,1
7.3,0,1
7.4,0,1
7.5,0,1
7.6,0,1
7.7,0,1
7.8,0,1
7.9,0,1
8,0,1
8.1,0,1
8.2,0,1
8.3,0,1
8.4,0,1
8.5,0,1
8.6,0,1
8.7,0,1
8.8,0,1
8.9,0,1
9,0,1
9.1,0,1
9.2,0,1
9.3,0,1
9.4,0,1
9.5,0,1
9.6,0,1
9.7,0,1
9.8,0,1
9.9,0,1
10,0,1
10.1,0,1
10.2,0,1
10.3,0,1
10.4,0,1
10.5,0,1
10.6,0,1
10.7,0,1
10.8,0,1
10.9,0,1
11,0,1
11.1,0,1
11.2,0,1
11.3,0,1
11.4,0,1
11.5,0,1
11.6,0,1
11.7,0,1
11.8,0,1
11.9,0,1
12,0,1
12.1,0,1
12.2,0,1
12.3,0,1
12.4,0,1
12.5,0,1
12.6,0,1
12.7,0,1
12.8,0,1
12.9,0,1
13,0,1
13.1,0,1
13.2,0,1
13.3,0,1
13.4,0,1
13.5,0,1
13.6,0,1
13.7,0,1
13.8,0,1
13.9,0,1
14,0,1
14.1,0,1
14.2,0,1
14.3,0,1
14.4,0,1
14.5,0,1
14.6,0,1
14.7,0,1
14.8,0,1
14.9,0,1
15,0,1
15.1,0,1
15.2,0,1
15.3,0,1
15.4,0,1
15.5,0,1
15.6,0,1
15.7,0,1
15.8,0,1
15.9,0,1
16,0,1
16.1,0,1
16.2,0,1
16.3,0,1
16.4,0,1
16.5,0,1
16.6,0,1
16.7,0,1
16.8,0,1
16.9,0,1
17,0,1
17.1,0,1
17.2,0,1
17.3,0,1
17.4,0,1
17.5,0,1
17.6,0,1
17.7,0,1
17.8,0,1
17.9,0,1
18,0,1
18.1,0,1
18.2,0,1
18.3,0,1
18.4,0,1
18.5,0,1
18.6,0,1
18.7,0,1
18.8,0,1
18.9,0,1
19,0,1
19.1,0,1
19.2,0,1
19.3,0,1
19.4,0,1
19.5,0,1
19.6,0,1
19.7,0,1
19.8,0,1
19.9,0,1
20,0,1
20.1,0,1
20.2,0,1
20.3,0,1
20.4,0,1
20.5,0,1
20.6,0,1
20.7,0,1
20.8,0,1
20.9,0,1
21,0,1
21.1,0,1
21.2,0,1
21.3,0,1
21.4,0,1
21.5,0,1
21.6,0,1
21.7,0,1
21.8,0,1
21.9,0,1
22,0,1
22.1,0,1
22.2,0,1
22.3,0,1
22.4,0,1
22.5,0,1
22.6,0,1
22.7,0,1
22.8,0,1
22.9,0,1
23,0,1
23.1,0,1
23.2,0,1
23.3,0,1
23.4,0,1
23.5,0,1
23.6,0,1
23.7,0,1
23.8,0,1
23.9,0,1
24,0,1
24.1,0,1
24.2,0,1
24.3,0,1
24.4,0,1
24.5,0,1
24.6,0,1
24.7,0,1
24.8,0,1
24.9,0,1
25,0,1
25.1,0,1
25.2,0,1
25.3,0,1
25.4,0,1
25.5,0,1
25.6,0,1
25.7,0,1
25.8,0,1
25.9,0,1
26,0,1
26.1,0,1
26.2,0,1
26.3,0,1
26.4,0,1
26.5,0,1
26.6,0,1
26.7,0,1
26.8,0,1
26.9,0,1
27,0,1
27.1,0,1
27.2,0,1
27.3,0,1
27.4,0,1
27.5,0,1
27.6,0,1
27.7,0,1
27.8,0,1
27.9,0,1
28,0,1
28.1,0,1
28.2,0,1
28.3,0,1
28.4,0,1
28.5,0,1
28.6,0,1
28.7,0,1
28.8,0,1
28.9,0,1
29,0,1
29.1,0,1
29.2,0,1
29.3,0,1
29.4,0,1
29.5,0,1
29.6,0,1
29.7,0,1
29.8,0,1
29.9,0,1
30,0,1
30.1,0,1
30.2,0,1
30.3,0,1
30.4,0,1
30.5,0,1
30.6,0,1
30.7,0,1
30.8,0,1
30.9,0,1
31,0,1
31.1,0,1
31.2,0,1
31.3,0,1
31.4,0,1
31.5,0,1
31.6,0,1
31.7,0,1
31.8,0,1
31.9,0,1
32,0,1
32.1,0,1
32.2,0,1
32.3,0,1
32.4,0,1
32.5,0,1
32.6,0,1
32.7,0,1
32.8,0,1
32.9,0,1
33,0,1
33.1,0,1
33.2,0,1
33.3,0,1
33.4,0,1
33.5,0,1
33.6,0,1
33.7,0,1
33.8,0,1
33.9,0,1
34,0,1
34.1,0,1
34.2,0,1
34.3,0,1
34.4,0,1
34.5,0,1
34.6,0,1
34.7,0,1
34.8,0,1
34.9,0,1
35,0,1
35.1,0,1
35.2,0,1
35.3,0,1
35.4,0,1
35.5,0,1
35.6,0,1
35.7,0,1
35.8,0,1
35.9,0,1
36,0,1
36.1,0,1
36.2,0,1
36.3,0,1
36.4,0,1
36.5,0,1
36.6,0,1
36.7,0,1
36.8,0,1
36.9,0,1
37,0,1
37.1,0,1
37.2,0,1
37.3,0,1
37.4,0,1
37.5,0,1
37.6,0,1
37.7,0,1
37.8,0,1
37.9,0,1
38,0,1
38.1,0,1
38.2,0,1
38.3,0,1
38.4,0,1
38.5,0,1
38.6,0,1
38.7,0,1
38.8,0,1
38.9,0,1
39,0,1
39.1,0,1
39.2,0,1
39.2,1,39.2
39.1,1,39.1
39,1,39
38.9,1,38.9
38.8,1,38.8
38.7,1,38.7
38.6,1,38.6
38.5,1,38.5
38.4,1,38.4
38.3,1,38.3
38.2,1,38.2
38.1,1,38.1
38,1,38
37.9,1,37.9
37.8,1,37.8
37.7,1,37.7
37.6,1,37.6
37.5,1,37.5
37.4,1,37.4
37.3,1,37.3
37.2,1,37.2
37.1,1,37.1
37,1,37
36.9,1,36.9
36.8,1,36.8
36.7,1,36.7
36.6,1,36.6
36.5,1,36.5
36.4,1,36.4
36.3,1,36.3
36.2,1,36.2
36.1,1,36.1
36,1,36
35.9,1,35.9
35.8,1,35.8
35.7,1,35.7
35.6,1,35.6
35.5,1,35.5
35.4,1,35.4
35.3,1,35.3
35.2,1,35.2
35.1,1,35.1
35,1,35
34.9,1,34.9
34.8,1,34.8
34.7,1,34.7
34.6,1,34.6
34.5,1,34.5
34.4,1,34.4
34.3,1,34.3
34.2,1,34.2
34.1,1,34.1
34,1,34
33.9,1,33.9
33.8,1,33.8
33.7,1,33.7
33.6,1,33.6
33.5,1,33.5
33.4,1,33.4
33.3,1,33.3
33.2,1,33.2
33.1,1,33.1
33,1,33
32.9,1,32.9
32.8,1,32.8
32.7,1,32.7
32.6,1,32.6
32.5,1,32.5
32.4,1,32.4
32.3,1,32.3
32.2,1,32.2
32.1,1,32.1
32,1,32
31.9,1,31.9
31.8,1,31.8
31.7,1,31.7
31.6,1,31.6
31.5,1,31.5
31.4,1,31.4
31.3,1,31.3
31.2,1,31.2
31.1,1,31.1
31,1,31
30.9,1,30.9
30.8,1,30.8
30.7,1,30.7
30.6,1,30.6
30.5,1,30.5
30.4,1,30.4
30.3,1,30.3
30.2,1,30.2
30.1,1,30.1
30,1,30
29.9,1,29.9
29.8,1,29.8
29.7,1,29.7
29.6,1,29.6
29.5,1,29.5
29.4,1,29.4
29.3,1,29.3
29.2,1,29.2
29.1,1,29.1
29,1,29
28.9,1,28.9
28.8,1,28.8
28.7,1,28.7
28.6,1,28.6
28.5,1,28.5
28.4,1,28.4
28.3,1,28.3
28.2,1,28.2
28.1,1,28.1
28,1,28
27.9,1,27.9
27.8,1,27.8
27.7,1,27.7
27.6,1,27.6
27.5,1,27.5
27.4,1,27.4
27.3,1,27.3
27.2,1,27.2
27.1,1,27.1
27,1,27
26.9,1,26.9
26.8,1,26.8
26.7,1,26.7
26.6,1,26.6
26.5,1,26.5
26.4,1,26.4
26.3,1,26.3
26.2,1,26.2
26.1,1,26.1
26,1,26
25.9,1,25.9
25.8,1,25.8
25.7,1,25.7
25.6,1,25.6
25.5,1,25.5
25.4,1,25.4
25.3,1,25.3
25.2,1,25.2
25.1,1,25.1
25,1,25
24.9,1,24.9
24.8,1,24.8
24.7,1,24.7
24.6,1,24.6
24.5,1,24.5
24.4,1,24.4
24.3,1,24.3
24.2,1,24.2
24.1,1,24.1
24,1,24
23.9,1,23.9
23.8,1,23.8
23.7,1,23.7
23.6,1,23.6
23.5,1,23.5
23.4,1,23.4
23.3,1,23.3
23.2,1,23.2
23.1,1,23.1
23,1,23
22.9,1,22.9
22.8,1,22.8
22.7,1,22.7
22.6,1,22.6
22.5,1,22.5
22.4,1,22.4
22.3,1,22.3
22.2,1,22.2
22.1,1,22.1
22,1,22
21.9,1,21.9
21.8,1,21.8
21.7,1,21.7
21.6,1,21.6
21.5,1,21.5
21.4,1,21.4
21.3,1,21.3
21.2,1,21.2
21.1,1,21.1
21,1,21
20.9,1,20.9
20.8,1,20.8
20.7,1,20.7
20.6,1,20.6
20.5,1,20.5
20.4,1,20.4
20.3,1,20.3
20.2,1,20.2
20.1,1,20.1
20,1,20
19.9,1,19.9
19.8,1,19.8
19.7,1,19.7
19.6,1,19.6
19.5,1,19.5
19.4,1,19.4
19.3,1,19.3
19.2,1,19.2
19.1,1,19.1
19,1,19
18.9,1,18.9
18.8,1,18.8
18.7,1,18.7
18.6,1,18.6
18.5,1,18.5
18.4,1,18.4
18.3,1,18.3
18.2,1,18.2
18.1,1,18.1
18,1,18
17.9,1,17.9
17.8,1,17.8
17.7,1,17.7
17.6,1,17.6
17.5,1,17.5
17.4,1,17.4
17.3,1,17.3
17.2,1,17.2
17.1,1,17.1
17,1,17
16.9,1,16.9
16.8,1,16.8
16.7,1,16.7
16.6,1,16.6
16.5,1,16.5
16.4,1,16.4
16.3,1,16.3
16.2,1,16.2
16.1,1,16.1
16,1,16
15.9,1,15.9
15.8,1,15.8
15.7,1,15.7
15.6,1,15.6
15.5,1,15.5
15.4,1,15.4
15.3,1,15.3
15.2,1,15.2
15.1,1,15.1
15,1,15
14.9,1,14.9
14.8,1,14.8
14.7,1,14.7
14.6,1,14.6
14.5,1,14.5
14.4,1,14.4
14.3,1,14.3
14.2,1,14.2
14.1,1,14.1
14,1,14
13.9,1,13.9
13.8,1,13.8
13.7,1,13.7
13.6,1,13.6
13.5,1,13.5
13.4,1,13.4
13.3,1,13.3
13.2,1,13.2
13.1,1,13.1
13,1,13
12.9,1,12.9
12.8,1,12.8
12.7,1,12.7
12.6,1,12.6
12.5,1,12.5
12.4,1,12.4
12.3,1,12.3
12.2,1,12.2
12.1,1,12.1
12,1,12
11.9,1,11.9
11.8,1,11.8
11.7,1,11.7
11.6,1,11.6
11.5,1,11.5
11.4,1,11.4
11.3,1,11.3
11.2,1,11.2
11.1,1,11.1
11,1,11
10.9,1,10.9
10.8,1,10.8
10.7,1,10.7
10.6,1,10.6
10.5,1,10.5
10.4,1,10.4
10.3,1,10.3
10.2,1,10.2
10.1,1,10.1
10,1,10
9.9,1,9.9
9.8,1,9.8
9.7,1,9.7
9.6,1,9.6
9.5,1,9.5
9.4,1,9.4
9.3,1,9.3
9.2,1,9.2
9.1,1,9.1
9,1,9
8.9,1,8.9
8.8,1,8.8
8.7,1,8.7
8.6,1,8.6
8.5,1,8.5
8.4,1,8.4
8.3,1,8.3
8.2,1,8.2
8.1,1,8.1
8,1,8
7.9,1,7.9
7.8,1,7.8
7.7,1,7.7
7.6,1,7.6
7.5,1,7.5
7.4,1,7.4
7.3,1,7.3
7.2,1,7.2
7.1,1,7.1
7,1,7
6.9,1,6.9
6.8,1,6.8
6.7,1,6.7
6.6,1,6.6
6.5,1,6.5
6.4,1,6.4
6.3,1,6.3
6.2,1,6.2
6.1,1,6.1
6,1,6
5.9,1,5.9
5.8,1,5.8
5.7,1,5.7
5.6,1,5.6
5.5,1,5.5
5.4,1,5.4
5.3,1,5.3
5.2,1,5.2
5.1,1,5.1
5,1,5
4.9,1,4.9
4.8,1,4.8
4.7,1,4.7
4.6,1,4.6
4.5,1,4.5
4.4,1,4.4
4.3,1,4.3
4.2,1,4.2
4.1,1,4.1
4,1,4
3.9,1,3.9
3.8,1,3.8
3.7,1,3.7
3.6,1,3.6
3.5,1,3.5
3.4,1,3.4
3.3,1,3.3
3.2,1,3.2
3.1,1,3.1
3,1,3
2.9,1,2.9
2.8,1,2.8
2.7,1,2.7
2.6,1,2.6
2.5,1,2.5
2.4,1,2.4
2.3,1,2.3
2.2,1,2.2
2.1,1,2.1
2,1,2
1.9,1,1.9
1.8,1,1.8
1.7,1,1.7
1.6,1,1.6
1.5,1,1.5
1.4,1,1.4
1.3,1,1.3
1.2,1,1.2
1.1,1,1.1
1,1,1
39.2,2,1536.64
39.1,2,1528.81
39,2,1521
38.9,2,1513.21
38.8,2,1505.44
38.7,2,1497.69
38.6,2,1489.96
38.5,2,1482.25
38.4,2,1474.56
38.3,2,1466.89
38.2,2,1459.24
38.1,2,1451.61
38,2,1444
37.9,2,1436.41
37.8,2,1428.84
37.7,2,1421.29
37.6,2,1413.76
37.5,2,1406.25
37.4,2,1398.76
37.3,2,1391.29
37.2,2,1383.84
37.1,2,1376.41
37,2,1369
36.9,2,1361.61
36.8,2,1354.24
36.7,2,1346.89
36.6,2,1339.56
36.5,2,1332.25
36.4,2,1324.96
36.3,2,1317.69
36.2,2,1310.44
36.1,2,1303.21
36,2,1296
35.9,2,1288.81
35.8,2,1281.64
35.7,2,1274.49
35.6,2,1267.36
35.5,2,1260.25
35.4,2,1253.16
35.3,2,1246.09
35.2,2,1239.04
35.1,2,1232.01
35,2,1225
34.9,2,1218.01
34.8,2,1211.04
34.7,2,1204.09
34.6,2,1197.16
34.5,2,1190.25
34.4,2,1183.36
34.3,2,1176.49
34.2,2,1169.64
34.1,2,1162.81
34,2,1156
33.9,2,1149.21
33.8,2,1142.44
33.7,2,1135.69
33.6,2,1128.96
33.5,2,1122.25
33.4,2,1115.56
33.3,2,1108.89
33.2,2,1102.24
33.1,2,1095.61
33,2,1089
32.9,2,1082.41
32.8,2,1075.84
32.7,2,1069.29
32.6,2,1062.76
32.5,2,1056.25
32.4,2,1049.76
32.3,2,1043.29
32.2,2,1036.84
32.1,2,1030.41
32,2,1024
31.9,2,1017.61
31.8,2,1011.24
31.7,2,1004.89
31.6,2,998.56
31.5,2,992.25
31.4,2,985.96
31.3,2,979.69
31.2,2,973.44
31.1,2,967.21
31,2,961
30.9,2,954.81
30.8,2,948.64
30.7,2,942.49
30.6,2,936.36
30.5,2,930.25
30.4,2,924.16
30.3,2,918.09
30.2,2,912.04
30.1,2,906.01
30,2,900
29.9,2,894.01
29.8,2,888.04
29.7,2,882.09
29.6,2,876.16
29.5,2,870.25
29.4,2,864.36
29.3,2,858.49
29.2,2,852.64
29.1,2,846.81
29,2,841
28.9,2,835.21
28.8,2,829.44
28.7,2,823.69
28.6,2,817.96
28.5,2,812.25
28.4,2,806.56
28.3,2,800.89
28.2,2,795.24
28.1,2,789.61
28,2,784
27.9,2,778.41
27.8,2,772.84
27.7,2,767.29
27.6,2,761.76
27.5,2,756.25
27.4,2,750.76
27.3,2,745.29
27.2,2,739.84
27.1,2,734.41
27,2,729
26.9,2,723.61
26.8,2,718.24
26.7,2,712.89
26.6,2,707.56
26.5,2,702.25
26.4,2,696.96
26.3,2,691.69
26.2,2,686.44
26.1,2,681.21
26,2,676
25.9,2,670.81
25.8,2,665.64
25.7,2,660.49
25.6,2,655.36
25.5,2,650.25
25.4,2,645.16
25.3,2,640.09
25.2,2,635.04
25.1,2,630.01
25,2,625
24.9,2,620.01
24.8,2,615.04
24.7,2,610.09
24.6,2,605.16
24.5,2,600.25
24.4,2,595.36
24.3,2,590.49
24.2,2,585.64
24.1,2,580.81
24,2,576
23.9,2,571.21
23.8,2,566.44
23.7,2,561.69
23.6,2,556.96
23.5,2,552.25
23.4,2,547.56
23.3,2,542.89
23.2,2,538.24
23.1,2,533.61
23,2,529
22.9,2,524.41
22.8,2,519.84
22.7,2,515.29
22.6,2,510.76
22.5,2,506.25
22.4,2,501.76
22.3,2,497.29
22.2,2,492.84
22.1,2,488.41
22,2,484
21.9,2,479.61
21.8,2,475.24
21.7,2,470.89
21.6,2,466.56
21.5,2,462.25
21.4,2,457.96
21.3,2,453.69
21.2,2,449.44
21.1,2,445.21
21,2,441
20.9,2,436.81
20.8,2,432.64
20.7,2,428.49
20.6,2,424.36
20.5,2,420.25
20.4,2,416.16
20.3,2,412.09
20.2,2,408.04
20.1,2,404.01
20,2,400
19.9,2,396.01
19.8,2,392.04
19.7,2,388.09
19.6,2,384.16
19.5,2,380.25
19.4,2,376.36
19.3,2,372.49
19.2,2,368.64
19.1,2,364.81
19,2,361
18.9,2,357.21
18.8,2,353.44
18.7,2,349.69
18.6,2,345.96
18.5,2,342.25
18.4,2,338.56
18.3,2,334.89
18.2,2,331.24
18.1,2,327.61
18,2,324
17.9,2,320.41
17.8,2,316.84
17.7,2,313.29
17.6,2,309.76
17.5,2,306.25
17.4,2,302.76
17.3,2,299.29
17.2,2,295.84
17.1,2,292.41
17,2,289
16.9,2,285.61
16.8,2,282.24
16.7,2,278.89
16.6,2,275.56
16.5,2,272.25
16.4,2,268.96
16.3,2,265.69
16.2,2,262.44
16.1,2,259.21
16,2,256
15.9,2,252.81
15.8,2,249.64
15.7,2,246.49
15.6,2,243.36
15.5,2,240.25
15.4,2,237.16
15.3,2,234.09
15.2,2,231.04
15.1,2,228.01
15,2,225
14.9,2,222.01
14.8,2,219.04
14.7,2,216.09
14.6,2,213.16
14.5,2,210.25
14.4,2,207.36
14.3,2,204.49
14.2,2,201.64
14.1,2,198.81
14,2,196
13.9,2,193.21
13.8,2,190.44
13.7,2,187.69
13.6,2,184.96
13.5,2,182.25
13.4,2,179.56
13.3,2,176.89
13.2,2,174.24
13.1,2,171.61
13,2,169
12.9,2,166.41
12.8,2,163.84
12.7,2,161.29
12.6,2,158.76
12.5,2,156.25
12.4,2,153.76
12.3,2,151.29
12.2,2,148.84
12.1,2,146.41
12,2,144
11.9,2,141.61
11.8,2,139.24
11.7,2,136.89
11.6,2,134.56
11.5,2,132.25
11.4,2,129.96
11.3,2,127.69
11.2,2,125.44
11.1,2,123.21
11,2,121
10.9,2,118.81
10.8,2,116.64
10.7,2,114.49
10.6,2,112.36
10.5,2,110.25
10.4,2,108.16
10.3,2,106.09
10.2,2,104.04
10.1,2,102.01
10,2,100
9.9,2,98.01
9.8,2,96.04
9.7,2,94.09
9.6,2,92.16
9.5,2,90.25
9.4,2,88.36
9.3,2,86.49
9.2,2,84.64
9.1,2,82.81
9,2,81
8.9,2,79.21
8.8,2,77.44
8.7,2,75.69
8.6,2,73.96
8.5,2,72.25
8.4,2,70.56
8.3,2,68.89
8.2,2,67.24
8.1,2,65.61
8,2,64
7.9,2,62.41
7.8,2,60.84
7.7,2,59.29
7.6,2,57.76
7.5,2,56.25
7.4,2,54.76
7.3,2,53.29
7.2,2,51.84
7.1,2,50.41
7,2,49
6.9,2,47.61
6.8,2,46.24
6.7,2,44.89
6.6,2,43.56
6.5,2,42.25
6.4,2,40.96
6.3,2,39.69
6.2,2,38.44
6.1,2,37.21
6,2,36
5.9,2,34.81
5.8,2,33.64
5.7,2,32.49
5.6,2,31.36
5.5,2,30.25
5.4,2,29.16
5.3,2,28.09
5.2,2,27.04
5.1,2,26.01
5,2,25
4.9,2,24.01
4.8,2,23.04
4.7,2,22.09
4.6,2,21.16
4.5,2,20.25
4.4,2,19.36
4.3,2,18.49
4.2,2,17.64
4.1,2,16.81
4,2,16
3.9,2,15.21
3.8,2,14.44
3.7,2,13.69
3.6,2,12.96
3.5,2,12.25
3.4,2,11.56
3.3,2,10.89
3.2,2,10.24
3.1,2,9.61
3,2,9
2.9,2,8.41
2.8,2,7.84
2.7,2,7.29
2.6,2,6.76
2.5,2,6.25
2.4,2,5.76
2.3,2,5.29
2.2,2,4.84
2.1,2,4.41
2,2,4
1.9,2,3.61
1.8,2,3.24
1.7,2,2.89
1.6,2,2.56
1.5,2,2.25
1.4,2,1.96
1.3,2,1.69
1.2,2,1.44
1.1,2,1.21
1,2,1
39.2,3,60236.288
39.1,3,59776.471
39,3,59319
38.9,3,58863.869
38.8,3,58411.072
38.7,3,57960.603
38.6,3,57512.456
38.5,3,57066.625
38.4,3,56623.104
38.3,3,56181.887
38.2,3,55742.968
38.1,3,55306.341
38,3,54872
37.9,3,54439.939
37.8,3,54010.152
37.7,3,53582.633
37.6,3,53157.376
37.5,3,52734.375
37.4,3,52313.624
37.3,3,51895.117
37.2,3,51478.848
37.1,3,51064.811
37,3,50653
36.9,3,50243.409
36.8,3,49836.032
36.7,3,49430.863
36.6,3,49027.896
36.5,3,48627.125
36.4,3,48228.544
36.3,3,47832.147
36.2,3,47437.928
36.1,3,47045.881
36,3,46656
35.9,3,46268.279
35.8,3,45882.712
35.7,3,45499.293
35.6,3,45118.016
35.5,3,44738.875
35.4,3,44361.864
35.3,3,43986.977
35.2,3,43614.208
35.1,3,43243.551
35,3,42875
34.9,3,42508.549
34.8,3,42144.192
34.7,3,41781.923
34.6,3,41421.736
34.5,3,41063.625
34.4,3,40707.584
34.3,3,40353.607
34.2,3,40001.688
34.1,3,39651.821
34,3,39304
33.9,3,38958.219
33.8,3,38614.472
33.7,3,38272.753
33.6,3,37933.056
33.5,3,37595.375
33.4,3,37259.704
33.3,3,36926.037
33.2,3,36594.368
33.1,3,36264.691
33,3,35937
32.9,3,35611.289
32.8,3,35287.552
32.7,3,34965.783
32.6,3,34645.976
32.5,3,34328.125
32.4,3,34012.224
32.3,3,33698.267
32.2,3,33386.248
32.1,3,33076.161
32,3,32768
31.9,3,32461.759
31.8,3,32157.432
31.7,3,31855.013
31.6,3,31554.496
31.5,3,31255.875
31.4,3,30959.144
31.3,3,30664.297
31.2,3,30371.328
31.1,3,30080.231
31,3,29791
30.9,3,29503.629
30.8,3,29218.112
30.7,3,28934.443
30.6,3,28652.616
30.5,3,28372.625
30.4,3,28094.464
30.3,3,27818.127
30.2,3,27543.608
30.1,3,27270.901
30,3,27000
29.9,3,26730.899
29.8,3,26463.592
29.7,3,26198.073
29.6,3,25934.336
29.5,3,25672.375
29.4,3,25412.184
29.3,3,25153.757
29.2,3,24897.088
29.1,3,24642.171
29,3,24389
28.9,3,24137.569
28.8,3,23887.872
28.7,3,23639.903
28.6,3,23393.656
28.5,3,23149.125
28.4,3,22906.304
28.3,3,22665.187
28.2,3,22425.768
28.1,3,22188.041
28,3,21952
27.9,3,21717.639
27.8,3,21484.952
27.7,3,21253.933
27.6,3,21024.576
27.5,3,20796.875
27.4,3,20570.824
27.3,3,20346.417
27.2,3,20123.648
27.1,3,19902.511
27,3,19683
26.9,3,19465.109
26.8,3,19248.832
26.7,3,19034.163
26.6,3,18821.096
26.5,3,18609.625
26.4,3,18399.744
26.3,3,18191.447
26.2,3,17984.728
26.1,3,17779.581
26,3,17576
25.9,3,17373.979
25.8,3,17173.512
25.7,3,16974.593
25.6,3,16777.216
25.5,3,16581.375
25.4,3,16387.064
25.3,3,16194.277
25.2,3,16003.008
25.1,3,15813.251
25,3,15625
24.9,3,15438.249
24.8,3,15252.992
24.7,3,15069.223
24.6,3,14886.936
24.5,3,14706.125
24.4,3,14526.784
24.3,3,14348.907
24.2,3,14172.488
24.1,3,13997.521
24,3,13824
23.9,3,13651.919
23.8,3,13481.272
23.7,3,13312.053
23.6,3,13144.256
23.5,3,12977.875
23.4,3,12812.904
23.3,3,12649.337
23.2,3,12487.168
23.1,3,12326.391
23,3,12167
22.9,3,12008.989
22.8,3,11852.352
22.7,3,11697.083
22.6,3,11543.176
22.5,3,11390.625
22.4,3,11239.424
22.3,3,11089.567
22.2,3,10941.048
22.1,3,10793.861
22,3,10648
21.9,3,10503.459
21.8,3,10360.232
21.7,3,10218.313
21.6,3,10077.696
21.5,3,9938.375
21.4,3,9800.344
21.3,3,9663.597
21.2,3,9528.128
21.1,3,9393.931
21,3,9261
20.9,3,9129.329
20.8,3,8998.912
20.7,3,8869.743
20.6,3,8741.816
20.5,3,8615.125
20.4,3,8489.664
20.3,3,8365.427
20.2,3,8242.408
20.1,3,8120.601
20,3,8000
19.9,3,7880.599
