Value1,Value2,Result
3,400000,73.68062997
4,399900,25.14709665
8,399800,5.014531326
13,399700,2.69713464
20,399600,1.90581734
2,399500,632.0601237
18,399400,2.047337007
10,399300,3.631866957
9,399200,4.191355553
19,399100,1.971486353
18,399000,2.047223041
15,398900,2.362604005
8,398800,5.012961783
14,398700,2.512153426
14,398600,2.512108414
4,398500,25.12505849
13,398400,2.696458835
12,398300,2.92876275
4,398200,25.12032847
19,398100,1.971226053
14,398000,2.511838125
17,397900,2.135002889
2,397800,630.7138812
16,397700,2.238577964
17,397600,2.134908167
4,397500,25.10928136
19,397400,1.971043474
13,397300,2.695885408
3,397200,73.50830579
9,397100,4.188899949
15,397000,2.361852111
15,396900,2.361812445
19,396800,1.970886735
16,396700,2.238225748
13,396600,2.695519737
18,396500,2.046508301
13,396400,2.69541515
3,396300,73.45274393
6,396200,8.570097152
14,396100,2.510979708
9,396000,4.18760907
17,395900,2.134370135
20,395800,1.904907052
4,395700,25.08080737
16,395600,2.237837348
16,395500,2.237801989
2,395400,628.8083969
17,395300,2.134179722
19,395200,1.970467664
19,395100,1.970441419
17,395000,2.134084413
18,394900,2.046048631
9,394800,4.186197198
13,394700,2.694524189
7,394600,6.301602599
2,394500,628.0923499
18,394400,2.045904623
3,394300,73.32897127
11,394200,3.226275951
6,394100,8.562509621
2,394000,627.6941931
19,393900,1.970125984
13,393800,2.694051069
2,393700,627.4551777
15,393600,2.360498195
11,393500,3.225754707
7,393400,6.298861379
15,393300,2.360378208
9,393200,4.184308756
5,393100,13.14923869
20,393000,1.904230985
16,392900,2.236879693
16,392800,2.236844105
20,392700,1.904158278
17,392600,2.133319483
17,392500,2.133287516
14,392400,2.509297023
2,392300,626.3385666
9,392200,4.183125009
12,392100,2.924936241
2,392000,626.0990337
14,391900,2.509068504
18,391800,2.045152991
4,391700,25.01718228
15,391600,2.359696666
10,391500,3.624709255
9,391400,4.182176077
3,391300,73.14252508
8,391200,5.000919408
14,391100,2.50870231
5,391000,13.13515952
8,390900,5.000439865
4,390800,25.00279953
14,390700,2.508518952
12,390600,2.924002143
18,390500,2.044775407
2,390400,624.8199741
4,390300,24.99479838
20,390200,1.903550326
10,390100,3.623410972
4,390000,24.98999399
17,389900,2.132453659
12,389800,2.923502612
16,389700,2.235736672
20,389600,1.903403867
3,389500,73.03019955
4,389400,24.98037691
4,389300,24.97877298
7,389200,6.289210326
19,389100,1.968855073
17,389000,2.132163796
2,388900,623.6184731
6,388800,8.54320923
13,388700,2.69135105
7,388600,6.287824325
14,388500,2.507507357
20,388400,1.903110306
3,388300,72.95512348
18,388200,2.044104456
2,388100,622.9767251
13,388000,2.69097791
2,387900,622.8161848
19,387800,1.968508312
13,387700,2.690817803
9,387600,4.177644974
7,387500,6.285278552
17,387400,2.131646923
10,387300,3.620801777
14,387200,2.506907093
2,387100,622.1736092
2,387000,622.0932406
15,386900,2.357797929
11,386800,3.220722558
13,386700,2.690283284
5,386600,13.10546304
3,386500,72.8422188
7,386400,6.282726576
6,386300,8.534029073
10,386200,3.619772089
15,386100,2.357472598
2,386000,621.2889827
8,385900,4.992399687
8,385800,4.992237956
13,385700,2.689747489
7,385600,6.28086668
8,385500,4.991752542
12,385400,2.920738279
4,385300,24.91436096
10,385200,3.618833716
9,385100,4.174642401
4,385000,24.90950988
17,384900,2.130835272
13,384800,2.689264175
11,384700,3.219129001
9,384600,4.174039808
16,384500,2.233860359
5,384400,13.09051329
14,384300,2.505561271
2,384200,619.8386887
13,384100,2.688887542
12,384000,2.91985265
4,383900,24.89169827
13,383800,2.688725934
13,383700,2.688672039
8,383600,4.988670557
13,383500,2.688564209
5,383400,13.08369531
12,383300,2.919408725
14,383200,2.505048319
17,383100,2.130247806
14,383000,2.504954908
13,382900,2.68824041
17,382800,2.130149642
11,382700,3.217603958
7,382600,6.273862482
4,382500,24.86897352
15,382400,2.355959709
17,382300,2.129985875
20,382200,1.901579707
15,382100,2.355836444
8,382000,4.986064823
3,381900,72.55208307
17,381800,2.129821906
14,381700,2.50434663
3,381600,72.53308042
4,381500,24.85270333
6,381400,8.515891407
9,381300,4.17004514
17,381200,2.129624877
20,381100,1.901305688
19,381000,1.966676342
19,380900,1.966649171
18,380800,2.041919981
2,380700,617.008914
14,380600,2.503830429
8,380500,4.983613259
5,380400,13.06315565
18,380300,2.041770939
16,380200,2.232290736
13,380100,2.686723123
5,380000,13.06040725
15,379900,2.354929732
6,379800,8.509926845
2,379700,616.1980201
13,379600,2.686451094
11,379500,3.215148753
9,379400,4.167731217
14,379300,2.503218585
18,379200,2.041442394
20,379100,1.900805541
20,379000,1.900780468
20,378900,1.900755388
7,378800,6.264922603
6,378700,8.505814051
15,378600,2.354391642
12,378500,2.916344493
12,378400,2.916280277
14,378300,2.502746608
12,378200,2.916151798
19,378100,1.965885621
7,378000,6.263030733
8,377900,4.979343779
20,377800,1.900479099
8,377700,4.979014294
16,377600,2.231333569
6,377500,8.501315996
4,377400,24.7856592
