Value,Result
0,0
0.5,0.008726535
1,0.017452406
1.5,0.026176948
2,0.034899497
2.5,0.043619387
3,0.052335956
3.5,0.06104854
4,0.069756474
4.5,0.078459096
5,0.087155743
5.5,0.095845753
6,0.104528463
6.5,0.113203214
7,0.121869343
7.5,0.130526192
8,0.139173101
8.5,0.147809411
9,0.156434465
9.5,0.165047606
10,0.173648178
10.5,0.182235525
11,0.190808995
11.5,0.199367934
12,0.207911691
12.5,0.216439614
13,0.224951054
13.5,0.233445364
14,0.241921896
14.5,0.250380004
15,0.258819045
15.5,0.267238376
16,0.275637356
16.5,0.284015345
17,0.292371705
17.5,0.3007058
18,0.309016994
18.5,0.317304656
19,0.325568154
19.5,0.333806859
20,0.342020143
20.5,0.350207381
21,0.35836795
21.5,0.366501227
22,0.374606593
22.5,0.382683432
23,0.390731128
23.5,0.398749069
24,0.406736643
24.5,0.414693243
25,0.422618262
25.5,0.430511097
26,0.438371147
26.5,0.446197813
27,0.4539905
27.5,0.461748613
28,0.469471563
28.5,0.47715876
29,0.48480962
29.5,0.49242356
30,0.5
30.5,0.507538363
31,0.515038075
31.5,0.522498565
32,0.529919264
32.5,0.537299608
33,0.544639035
33.5,0.551936985
34,0.559192903
34.5,0.566406237
35,0.573576436
35.5,0.580702956
36,0.587785252
36.5,0.594822787
37,0.601815023
37.5,0.608761429
38,0.615661475
38.5,0.622514637
39,0.629320391
39.5,0.63607822
40,0.64278761
40.5,0.649448048
41,0.656059029
41.5,0.662620048
42,0.669130606
42.5,0.675590208
43,0.68199836
43.5,0.688354576
44,0.69465837
44.5,0.700909264
45,0.707106781
45.5,0.713250449
46,0.7193398
46.5,0.725374371
47,0.731353702
47.5,0.737277337
48,0.743144825
48.5,0.748955721
49,0.75470958
49.5,0.760405966
50,0.766044443
50.5,0.771624583
51,0.777145961
51.5,0.782608157
52,0.788010754
52.5,0.79335334
53,0.79863551
53.5,0.803856861
54,0.809016994
54.5,0.814115518
55,0.819152044
55.5,0.824126189
56,0.829037573
56.5,0.833885822
57,0.838670568
57.5,0.843391446
58,0.848048096
58.5,0.852640164
59,0.857167301
59.5,0.86162916
60,0.866025404
60.5,0.870355696
61,0.874619707
61.5,0.878817113
62,0.882947593
62.5,0.887010833
63,0.891006524
