Value1,Value2,Result
-145,822,-967
902,-988,1890
-392,111,-503
464,389,75
882,-700,1582
-726,810,-1536
-982,799,-1781
568,789,-221
-799,724,-1523
680,-635,1315
-612,-172,-440
689,-356,1045
-564,-19,-545
-339,-473,134
164,706,-542
429,-825,1254
827,3,824
-460,688,-1148
56,-411,467
-160,-443,283
765,342,423
-926,503,-1429
823,442,381
355,606,-251
-16,98,-114
-35,999,-1034
606,-241,847
572,-733,1305
493,153,340
919,778,141
462,-207,669
-615,-813,198
838,-326,1164
-875,-992,117
858,678,180
144,568,-424
250,-687,937
-382,719,-1101
-938,637,-1575
731,-487,1218
-664,-586,-78
-804,207,-1011
948,-855,1803
-70,421,-491
33,817,-784
-111,-336,225
-282,-785,503
-157,74,-231
-10,-159,149
282,695,-413
-801,356,-1157
798,-15,813
245,-330,575
-871,-666,-205
-440,-571,131
490,-300,790
-316,-330,14
694,-724,1418
750,523,227
191,-482,673
-956,709,-1665
793,612,181
530,223,307
-709,-914,205
184,-740,924
-622,690,-1312
-231,-958,727
-737,-376,-361
-639,40,-679
508,-905,1413
949,-316,1265
-70,123,-193
607,-936,1543
-581,110,-691
-833,-526,-307
-324,241,-565
-926,457,-1383
-113,961,-1074
280,-317,597
363,19,344
-613,-297,-316
1000,383,617
-999,-455,-544
292,317,-25
416,-862,1278
50,556,-506
-595,524,-1119
974,612,362
-21,100,-121
-255,692,-947
-725,746,-1471
547,-392,939
504,-277,781
187,-350,537
-596,696,-1292
-246,498,-744
-542,-165,-377
555,378,177
900,798,102
-10,-106,96
193,172,21
925,664,261
-690,-606,-84
865,334,531
393,997,-604
-288,847,-1135
-421,-231,-190
878,-428,1306
628,595,33
758,-964,1722
-917,929,-1846
-163,-823,660
-527,-868,341
-880,-204,-676
-561,-847,286
-526,-376,-150
-907,474,-1381
474,615,-141
-366,-179,-187
-48,468,-516
253,-34,287
579,-469,1048
-695,-543,-152
-562,-650,88
586,-303,889
335,646,-311
932,304,628
850,-839,1689
58,-363,421
116,971,-855
5,764,-759
-627,209,-836
43,-15,58
-296,-833,537
152,897,-745
-572,-778,206
-425,-653,228
-860,-937,77
659,-941,1600
37,-450,487
-244,711,-955
574,725,-151
-976,543,-1519
578,277,301
-394,-822,428
208,919,-711
-79,-578,499
-527,537,-1064
288,-512,800
-549,-82,-467
-347,-424,77
66,584,-518
214,811,-597
718,332,386
221,-320,541
-610,-156,-454
-114,-477,363
936,558,378
-447,-27,-420
-530,-403,-127
-806,-814,8
352,499,-147
38,76,-38
554,418,136
999,-473,1472
181,224,-43
773,-201,974
210,-569,779
187,460,-273
976,-658,1634
338,435,-97
-775,823,-1598
35,92,-57
262,-522,784
-393,-527,134
-835,4,-839
-498,-190,-308
-330,670,-1000
518,867,-349
767,-783,1550
-615,663,-1278
671,492,179
201,-835,1036
-522,-558,36
496,-600,1096
-827,252,-1079
596,-916,1512
-639,150,-789
-811,469,-1280
629,-771,1400
-991,-891,-100
317,675,-358
667,-105,772
-325,-821,496
607,-921,1528
-225,788,-1013
930,-716,1646
546,-959,1505
869,196,673
-348,917,-1265
-349,-628,279
13,192,-179
-586,592,-1178
864,416,448
544,-462,1006
761,-99,860
-398,169,-567
-780,-521,-259
406,212,194
-916,-23,-893
-612,-33,-579
270,-341,611
-330,961,-1291
115,6,109
757,701,56
478,382,96
392,391,1
-30,-195,165
-717,-580,-137
-105,845,-950
-107,20,-127
-624,-687,63
-541,-447,-94
764,-117,881
647,303,344
141,-430,571
791,-379,1170
-821,101,-922
-920,867,-1787
110,524,-414
327,248,79
-116,-151,35
10,-296,306
64,268,-204
487,-203,690
-369,840,-1209
955,-729,1684
31,-416,447
333,-240,573
-508,672,-1180
999,977,22
468,491,-23
825,-971,1796
812,498,314
111,366,-255
748,-12,760
-264,71,-335
-951,136,-1087
-498,-719,221
-362,587,-949
-611,74,-685
-557,-512,-45
-719,-215,-504
869,-463,1332
788,760,28
-339,-4,-335
-923,-767,-156
635,585,50
813,661,152
823,-444,1267
-154,481,-635
512,541,-29
-105,-630,525
703,-388,1091
132,-79,211
412,499,-87
90,-430,520
-826,340,-1166
753,-560,1313
655,-912,1567
-801,-117,-684
-471,-809,338
-720,248,-968
-182,-311,129
-684,-352,-332
-898,-606,-292
-670,336,-1006
344,678,-334
-891,-501,-390
875,-965,1840
-320,657,-977
249,-503,752
-874,623,-1497
-398,-105,-293
-631,-497,-134
352,120,232
23,-62,85
-291,-861,570
-126,105,-231
-272,-965,693
-579,-425,-154
431,21,410
-285,474,-759
-433,-247,-186
-915,-99,-816
-608,200,-808
700,-214,914
892,-584,1476
147,-131,278
-119,393,-512
-627,-170,-457
452,-426,878
185,707,-522
-21,232,-253
664,-120,784
297,796,-499
-718,-169,-549
-632,-91,-541
181,-34,215
815,876,-61
-701,-694,-7
871,-182,1053
-495,-953,458
460,-69,529
11,567,-556
367,-857,1224
367,171,196
602,120,482
387,-682,1069
786,-826,1612
-671,-119,-552
-6,-498,492
686,-671,1357
231,348,-117
-111,701,-812
225,975,-750
-858,832,-1690
-784,-610,-174
984,-704,1688
-144,759,-903
-550,-37,-513
737,-12,749
-556,626,-1182
-568,267,-835
126,554,-428
-314,-214,-100
-369,807,-1176
-433,163,-596
-836,831,-1667
-751,-561,-190
-162,-214,52
193,506,-313
632,-732,1364
319,740,-421
202,-51,253
-570,686,-1256
-903,-402,-501
-856,-650,-206
-92,128,-220
752,-794,1546
-899,314,-1213
161,512,-351
477,281,196
-719,-840,121
