Value,Result
0,0
0.5,0.008726868
1,0.017455065
1.5,0.026185922
2,0.034920769
2.5,0.043660943
3,0.052407779
3.5,0.06116262
4,0.069926812
4.5,0.078701707
5,0.087488664
5.5,0.096289048
6,0.105104235
6.5,0.113935608
7,0.122784561
7.5,0.131652498
8,0.140540835
8.5,0.149451001
9,0.15838444
9.5,0.167342609
10,0.176326981
10.5,0.185339045
11,0.194380309
11.5,0.203452299
12,0.212556562
12.5,0.221694663
13,0.230868191
13.5,0.240078759
14,0.249328003
14.5,0.258617584
15,0.267949192
15.5,0.277324544
16,0.286745386
16.5,0.296213495
17,0.305730681
17.5,0.315298789
18,0.324919696
18.5,0.33459532
19,0.344327613
19.5,0.354118573
20,0.363970234
20.5,0.373884679
21,0.383864035
21.5,0.393910476
22,0.404026226
22.5,0.414213562
23,0.424474816
23.5,0.434812375
24,0.445228685
24.5,0.455726256
25,0.466307658
25.5,0.476975533
26,0.487732589
26.5,0.498581608
27,0.509525449
27.5,0.520567051
28,0.531709432
28.5,0.5429557
29,0.554309051
29.5,0.565772778
30,0.577350269
30.5,0.589045016
31,0.600860619
31.5,0.612800788
32,0.624869352
32.5,0.637070261
33,0.649407593
33.5,0.661885561
34,0.674508517
34.5,0.687280959
35,0.700207538
35.5,0.713293068
36,0.726542528
36.5,0.739961075
37,0.75355405
37.5,0.767326988
38,0.781285627
38.5,0.795435917
39,0.809784033
39.5,0.824336386
40,0.839099631
40.5,0.854080685
41,0.869286738
41.5,0.884725265
42,0.900404044
42.5,0.916331174
43,0.932515086
43.5,0.948964567
44,0.965688775
44.5,0.982697263
45,1
45.5,1.017607393
46,1.035530314
46.5,1.053780125
47,1.07236871
47.5,1.091308501
48,1.110612515
48.5,1.130294386
49,1.150368407
49.5,1.170849566
50,1.191753593
50.5,1.213097004
51,1.234897157
51.5,1.257172299
52,1.279941632
52.5,1.303225373
53,1.327044822
53.5,1.351422438
54,1.37638192
54.5,1.401948294
55,1.428148007
55.5,1.455009029
56,1.482560969
56.5,1.510835194
57,1.539864964
57.5,1.569685577
58,1.600334529
58.5,1.631851687
59,1.664279482
59.5,1.697663119
60,1.732050808
60.5,1.767494016
61,1.804047755
61.5,1.841770886
62,1.880726465
62.5,1.920982127
63,1.962610506
63.5,2.005689708
64,2.050303842
64.5,2.096543599
65,2.144506921
65.5,2.194299731
66,2.246036774
66.5,2.299842547
67,2.355852366
67.5,2.414213562
68,2.475086853
68.5,2.538647896
69,2.605089065
69.5,2.674621494
70,2.747477419
70.5,2.823912886
71,2.904210878
